student_id,name,department,year,attendance_percent,cgpa,internal_marks_avg,assignment_submission_rate,backlogs,lms_engagement_score,socio_economic_proxy,dropout_risk_label
STU0001,David Martin,Data Science,4,61.5,6.12,46.7,49.0,1,53.2,Low,High
STU0002,Daniel Hernandez,Electrical Eng,2,66.0,6.05,54.9,68.4,1,51.9,Low,High
STU0003,Jessica Miller,Mechanical Eng,1,71.1,6.0,44.1,59.7,0,63.2,Low,High
STU0004,Charles Hernandez,Civil Eng,2,74.7,8.03,78.9,71.9,0,65.8,Medium,Low
STU0005,Robert Brown,Electrical Eng,3,90.1,8.35,77.4,93.6,0,68.5,High,Low
STU0006,Jessica Williams,Mechanical Eng,1,83.3,8.56,74.7,88.9,0,71.5,Medium,Low
STU0007,Jane Lopez,Mechanical Eng,2,67.2,5.74,55.2,71.9,0,51.1,Low,High
STU0008,Sarah Johnson,Computer Science,2,81.9,7.88,71.2,84.2,0,63.4,Medium,Low
STU0009,John Lopez,Civil Eng,4,64.5,6.34,62.5,56.6,0,61.1,Low,High
STU0010,Olivia Taylor,Computer Science,1,96.5,9.32,92.1,100.0,0,81.3,Low,Low
STU0011,Emma Thomas,Data Science,2,77.8,6.89,62.0,70.1,0,62.9,Medium,Medium
STU0012,Daniel Anderson,Computer Science,2,74.2,6.9,64.4,81.8,0,73.7,Medium,Medium
STU0013,Charles Lopez,Computer Science,2,93.6,8.11,78.1,98.0,0,73.2,Medium,Low
STU0014,Amelia Williams,Electrical Eng,2,63.8,6.4,53.8,73.3,1,67.5,High,Medium
STU0015,Michael Jackson,Business Admin,2,90.3,8.62,82.9,90.4,0,87.9,Medium,Low
STU0016,David Rodriguez,Mechanical Eng,3,93.0,9.73,85.2,87.3,1,79.9,Medium,Low
STU0017,David Moore,Civil Eng,3,87.0,8.42,82.9,77.9,0,75.2,High,Low
STU0018,Emily Wilson,Computer Science,2,95.1,9.1,84.3,86.9,0,79.5,Medium,Low
STU0019,Mia Rodriguez,Civil Eng,4,65.5,4.68,37.3,54.0,2,49.3,Low,High
STU0020,Jane Martin,Business Admin,2,82.0,6.91,62.8,88.6,0,59.4,High,Low
STU0021,Daniel Miller,Business Admin,2,81.4,8.12,74.4,88.9,0,62.1,Low,Medium
STU0022,Olivia Davis,Computer Science,1,62.0,5.98,62.1,65.8,2,54.0,Medium,High
STU0023,Daniel Williams,Data Science,4,85.3,8.26,79.3,85.1,0,65.9,Medium,Low
STU0024,Sophia Taylor,Computer Science,1,92.4,8.95,80.2,100.0,0,92.7,Medium,Low
STU0025,Emily Moore,Electrical Eng,1,65.2,5.32,58.8,64.5,1,35.3,Medium,High
STU0026,Jessica Brown,Mechanical Eng,1,54.9,6.06,60.7,56.4,1,52.0,Medium,High
STU0027,Jane Garcia,Data Science,2,93.2,8.45,78.6,92.8,1,85.1,Low,Low
STU0028,Emma Brown,Computer Science,1,88.2,7.97,68.0,85.8,0,85.7,Low,Low
STU0029,Mia Lopez,Civil Eng,1,84.8,8.21,75.9,89.2,0,84.9,Medium,Low
STU0030,Jane Martinez,Data Science,1,85.0,7.63,71.4,80.6,0,70.6,Medium,Low
STU0031,Emily Wilson,Data Science,1,92.0,8.19,79.6,87.1,0,80.0,Low,Low
STU0032,Isabella Anderson,Computer Science,2,91.4,8.9,87.6,96.2,0,89.1,High,Low
STU0033,Jessica Wilson,Data Science,3,66.2,6.84,69.0,62.7,0,55.9,Medium,Medium
STU0034,Jessica Thomas,Civil Eng,2,71.2,6.62,54.9,72.2,0,67.7,High,Medium
STU0035,William Moore,Business Admin,2,83.2,7.47,72.0,80.8,0,58.7,Medium,Low
STU0036,Daniel Gonzalez,Data Science,3,84.9,7.79,73.2,84.8,1,77.6,Medium,Medium
STU0037,James Anderson,Business Admin,1,71.3,6.42,74.4,66.6,0,51.3,Medium,Medium
STU0038,William Smith,Civil Eng,1,81.8,7.4,70.6,77.3,0,79.8,High,Low
STU0039,David Rodriguez,Computer Science,4,88.5,7.43,67.4,82.7,0,82.1,Low,Medium
STU0040,John Lopez,Mechanical Eng,2,86.0,7.86,75.3,91.9,0,59.9,Medium,Low
STU0041,Jessica Hernandez,Data Science,1,75.7,7.26,69.0,76.9,1,67.2,Low,Medium
STU0042,Charles Taylor,Mechanical Eng,2,56.6,5.02,37.8,63.0,1,39.7,Medium,High
STU0043,Jessica Williams,Civil Eng,1,71.5,6.84,67.0,78.6,0,64.8,Medium,Medium
STU0044,Alex Smith,Data Science,2,67.1,5.52,50.9,63.8,1,56.6,High,High
STU0045,Michael Martinez,Business Admin,1,96.5,9.41,89.2,100.0,0,77.3,High,Low
STU0046,David Rodriguez,Electrical Eng,1,75.3,6.23,54.8,75.2,1,71.5,Low,High
STU0047,David Rodriguez,Mechanical Eng,1,70.3,6.55,56.7,69.2,0,60.7,Low,Medium
STU0048,Jessica Lopez,Data Science,4,84.8,7.66,77.2,93.6,1,71.9,Medium,Low
STU0049,Jane Smith,Mechanical Eng,3,97.1,10.0,100.0,100.0,0,88.9,Medium,Low
STU0050,Isabella Jones,Data Science,1,89.9,8.12,79.2,87.5,1,84.7,Low,Medium
STU0051,Alex Lopez,Computer Science,1,75.8,7.46,61.9,79.3,0,79.6,Medium,Medium
STU0052,Jessica Williams,Business Admin,3,62.5,4.42,44.4,53.6,1,53.7,Medium,High
STU0053,John Williams,Mechanical Eng,1,100.0,9.73,83.4,100.0,0,83.8,High,Low
STU0054,Michael Anderson,Electrical Eng,1,73.1,6.47,58.2,62.6,1,54.4,Low,High
STU0055,Sophia Williams,Electrical Eng,4,100.0,8.44,84.5,93.1,0,81.9,Medium,Low
STU0056,John Jones,Civil Eng,1,72.5,6.73,67.2,76.6,1,53.3,Medium,Medium
STU0057,Sophia Miller,Data Science,3,91.2,8.05,78.7,72.5,1,84.4,Medium,Low
STU0058,James Anderson,Mechanical Eng,4,93.8,9.38,95.7,100.0,1,100.0,Medium,Low
STU0059,Daniel Martinez,Civil Eng,2,90.7,9.06,88.9,96.6,0,89.7,Medium,Low
STU0060,William Jackson,Mechanical Eng,1,93.5,8.8,73.5,80.7,0,87.3,Low,Low
STU0061,David Taylor,Data Science,1,81.8,8.1,75.1,98.6,0,74.3,High,Low
STU0062,Amelia Brown,Electrical Eng,3,80.0,7.29,69.1,98.7,0,81.2,Medium,Low
STU0063,Michael Miller,Computer Science,4,81.6,8.25,77.6,80.3,0,78.8,Low,Low
STU0064,William Anderson,Electrical Eng,3,75.0,6.64,59.9,68.5,0,72.3,Medium,Medium
STU0065,Robert Brown,Civil Eng,1,100.0,10.0,89.8,100.0,0,95.5,Low,Low
